problema bfs cu matrice,onenote,medium,bfs|matrice|queue,solved,40,27-03-2026,8.000000,e problema stil labirint
3sum,leetcode,medium,sliding windows,solved,35,27-03-2026,7.000000,trebuie sa ai grija si la performanta
